Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Journal of Circuits, Systems and Computers:  ['Electrical and Electronic Engineering (Q3)', 'Hardware and Architecture (Q4)']
International Journal of Decision Support System Technology:  ['Computer Science (miscellaneous) (Q3)', 'Modeling and Simulation (Q4)']
Design Automation for Embedded Systems:  ['Hardware and Architecture (Q4)', 'Software (Q4)']
Applied Sciences:  ['Engineering (miscellaneous) (Q3)', 'Fluid Flow and Transfer Processes (Q3)', 'Materials Science (miscellaneous) (Q3)', 'Applied Mathematics (Q4)', 'Computer Science Applications (Q4)', 'Instrumentation (Q4)', 'Process Chemistry and Technology (Q4)']
Journal of Electrical and Computer Engineering:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Signal Processing (Q4)']
Qinghua Daxue Xuebao/Journal of Tsinghua University:  ['Engineering (miscellaneous) (Q3)', 'Applied Mathematics (Q4)', 'Computer Science Applications (Q4)']
ACM Transactions on Asian Language Information Processing:  ['Computer Science (miscellaneous) (Q3)']
International Journal of Digital Crime and Forensics:  ['Software (Q4)']
Periodica polytechnica Electrical engineering and computer science:  ['Computer Networks and Communications (Q3)', 'Electrical and Electronic Engineering (Q3)', 'Computer Science Applications (Q4)', 'Information Systems (Q4)', 'Signal Processing (Q4)', 'Software (Q4)']
Intelligent Decision Technologies:  ['Artificial Intelligence (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Human-Computer Interaction (Q4)', 'Software (Q4)']
International Journal of Information Technology and Web Engineering:  ['Computer Science (miscellaneous) (Q3)']
Acta Scientiarum - Technology:  ['Computer Science (miscellaneous) (Q3)', 'Earth and Planetary Sciences (miscellaneous) (Q3)', 'Engineering (miscellaneous) (Q3)', 'Chemistry (miscellaneous) (Q4)', 'Mathematics (miscellaneous) (Q4)', 'Physics and Astronomy (miscellaneous) (Q4)']
Shu Ju Cai Ji Yu Chu Li/Journal of Data Acquisition and Processing:  ['Signal Processing (Q4)', 'Software (Q4)']
Journal of China Universities of Posts and Telecommunications:  ['Computer Networks and Communications (Q3)', 'Information Systems (Q4)', 'Signal Processing (Q4)']
Automatika:  ['Computer Science (miscellaneous) (Q3)', 'Control and Systems Engineering (Q4)']
Tongxin Xuebao/Journal on Communication:  ['Computer Networks and Communications (Q3)', 'Information Systems (Q4)', 'Signal Processing (Q4)']
Journal of Radars:  ['Instrumentation (Q4)', 'Signal Processing (Q4)']
Cybernetics and Physics:  ['Fluid Flow and Transfer Processes (Q3)', 'Artificial Intelligence (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Control and Optimization (Q4)', 'Physics and Astronomy (miscellaneous) (Q4)', 'Signal Processing (Q4)']
Bulletin of TICMI:  ['Computer Science Applications (Q4)', 'Mathematics (miscellaneous) (Q4)']
Modelling, Measurement and Control C:  ['Chemistry (miscellaneous) (Q4)', 'Computer Science Applications (Q4)', 'Environmental Science (miscellaneous) (Q4)', 'Modeling and Simulation (Q4)']
Queue:  ['Computer Science (miscellaneous) (Q3)']
International Journal of Networking and Virtual Organisations:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Information Systems and Management (Q4)', 'Strategy and Management (Q4)']
Journal of Information Processing:  ['Computer Science (miscellaneous) (Q3)']
International Journal of Electronic Commerce Studies:  ['Computer Science Applications (Q4)']
Journal of Information Technology Research:  ['Computer Science (miscellaneous) (Q3)']
Interdisciplinary Journal of Information, Knowledge, and Management:  ['Computer Science (miscellaneous) (Q3)', 'Information Systems and Management (Q4)']
Neural Network World:  ['Artificial Intelligence (Q4)', 'Hardware and Architecture (Q4)', 'Neuroscience (miscellaneous) (Q4)', 'Software (Q4)']
Information and Communications Technology Law:  ['Communication (Q3)', 'Law (Q3)', 'Computer Science Applications (Q4)']
Human Technology:  ['Communication (Q3)', 'Human-Computer Interaction (Q4)', 'Social Psychology (Q4)']
International Journal of Software Engineering and its Applications:  ['Software (Q4)']
International Journal of Computer Science and Applications:  ['Computer Science Applications (Q4)']
Journal of Theoretical and Applied Information Technology:  ['Computer Science (miscellaneous) (Q3)', 'Theoretical Computer Science (Q4)']
Journal of Mathematics and the Arts:  ['Visual Arts and Performing Arts', 'Computer Graphics and Computer-Aided Design (Q4)', 'Mathematics (miscellaneous) (Q4)']
International Journal of Ambient Computing and Intelligence:  ['Software (Q4)']
Journal of Information Science and Engineering:  ['Library and Information Sciences (Q3)', 'Computational Theory and Mathematics (Q4)', 'Hardware and Architecture (Q4)', 'Human-Computer Interaction (Q4)', 'Software (Q4)']
Bio-Algorithms and Med-Systems:  ['Computer Science (miscellaneous) (Q3)', 'Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)', 'Health Informatics (Q4)', 'Medicine (miscellaneous) (Q4)']
Journal of High Speed Networks:  ['Computer Networks and Communications (Q4)', 'Hardware and Architecture (Q4)', 'Information Systems (Q4)']
Journal of Technology and Science Education:  ['Computer Science Applications (Q4)', 'Education (Q4)']
International Journal of Manufacturing Technology and Management:  ['Industrial and Manufacturing Engineering (Q3)', 'Computer Science Applications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Information Systems and Management (Q4)', 'Strategy and Management (Q4)']
International Journal of High Speed Electronics and Systems:  ['Electrical and Electronic Engineering (Q4)', 'Electronic, Optical and Magnetic Materials (Q4)', 'Hardware and Architecture (Q4)']
Journal of Object Technology:  ['Software (Q4)']
Journal of Electronic Publishing:  ['Information Systems (Q4)']
Information Display:  ['Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)']
Journal of ICT Research and Applications:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q4)', 'Information Systems and Management (Q4)']
Journal of Enterprise Transformation:  ['Control and Systems Engineering (Q4)', 'Information Systems (Q4)', 'Information Systems and Management (Q4)', 'Management Science and Operations Research (Q4)', 'Organizational Behavior and Human Resource Management (Q4)']
Journal of Web Engineering:  ['Computer Networks and Communications (Q4)', 'Information Systems (Q4)', 'Software (Q4)']
International Journal of Agricultural and Environmental Information Systems:  ['Information Systems (Q4)']
International Journal of Healthcare Information Systems and Informatics:  ['Information Systems (Q4)', 'Information Systems and Management (Q4)', 'Medicine (miscellaneous) (Q4)']
Serbian Journal of Electrical Engineering:  ['Computer Networks and Communications (Q4)', 'Control and Systems Engineering (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Energy Engineering and Power Technology (Q4)', 'Hardware and Architecture (Q4)', 'Mechanical Engineering (Q4)']
ITE Transactions on Media Technology and Applications:  ['Media Technology (Q2)', 'Computer Graphics and Computer-Aided Design (Q4)', 'Signal Processing (Q4)']
SPIIRAS Proceedings:  ['Applied Mathematics (Q4)', 'Artificial Intelligence (Q4)', 'Computational Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)', 'Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Control and Systems Engineering (Q4)', 'Information Systems (Q4)']
Journal of Information and Organizational Sciences:  ['Library and Information Sciences (Q3)', 'Computer Science Applications (Q4)', 'Information Systems (Q4)']
International Journal of Intelligent Systems and Applications:  ['Artificial Intelligence (Q4)', 'Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Control and Optimization (Q4)', 'Human-Computer Interaction (Q4)', 'Modeling and Simulation (Q4)', 'Signal Processing (Q4)']
IPSJ Transactions on Computer Vision and Applications:  ['Computer Vision and Pattern Recognition (Q4)']
International Journal of Mathematics and Computers in Simulation:  ['Applied Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)', 'Modeling and Simulation (Q4)']
African Journal of Science, Technology, Innovation and Development:  ['Civil and Structural Engineering (Q4)', 'Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Development (Q4)']
Journal of Automation, Mobile Robotics and Intelligent Systems:  ['Artificial Intelligence (Q4)', 'Control and Systems Engineering (Q4)', 'Signal Processing (Q4)']
International Journal of Electronic Finance:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'E-learning (Q4)', 'Finance (Q4)', 'Management of Technology and Innovation (Q4)']
International Journal of Biometrics:  ['Applied Mathematics (Q4)', 'Computer Science Applications (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Electrical and Electronic Engineering (Q4)']
International Journal of Grid and High Performance Computing:  ['Computer Networks and Communications (Q4)']
ACM Transactions on Economics and Computation:  ['Computer Science (miscellaneous) (Q3)', 'Computational Mathematics (Q4)', 'Economics and Econometrics (Q4)', 'Marketing (Q4)', 'Statistics and Probability (Q4)']
New Review of Information Networking:  ['Computer Networks and Communications (Q4)', 'Education (Q4)', 'Human-Computer Interaction (Q4)', 'Information Systems (Q4)']
IPSJ Transactions on System LSI Design Methodology:  ['Computer Science Applications (Q4)', 'Electrical and Electronic Engineering (Q4)']
Imaging Science Journal:  ['Media Technology (Q2)', 'Computer Vision and Pattern Recognition (Q4)']
International Journal of Computer Information Systems and Industrial Management Applications:  ['Artificial Intelligence (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Information Systems (Q4)', 'Management Information Systems (Q4)', 'Signal Processing (Q4)', 'Strategy and Management (Q4)']
International Journal of Intelligent Systems Technologies and Applications:  ['Computer Science (miscellaneous) (Q3)']
Human IT:  ['E-learning (Q4)', 'Human-Computer Interaction (Q4)', 'Information Systems (Q4)']
Information-Wissenschaft und Praxis:  ['Library and Information Sciences (Q3)', 'Information Systems (Q4)']
Mathematics in Computer Science:  ['Applied Mathematics (Q4)', 'Computational Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)']
WSEAS Transactions on Systems:  ['Computer Science Applications (Q4)', 'Control and Systems Engineering (Q4)']
Modelling and Simulation in Engineering:  ['Engineering (miscellaneous) (Q3)', 'Computer Science Applications (Q4)', 'Modeling and Simulation (Q4)']
Journal of Database Management:  ['Hardware and Architecture (Q4)', 'Information Systems (Q4)', 'Software (Q4)']
International Journal of Web Services Research:  ['Computer Networks and Communications (Q4)', 'Information Systems (Q4)', 'Software (Q4)']
Revue Francaise de Photogrammetrie et de Teledetection:  ['Computer Science Applications (Q4)', 'Electrical and Electronic Engineering (Q4)']
High Technology Letters:  ['Energy (miscellaneous) (Q3)', 'Biotechnology (Q4)', 'Control and Systems Engineering (Q4)', 'Information Systems (Q4)', 'Materials Science (miscellaneous) (Q4)']
International Journal of Wireless Information Networks:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)']
Journal of Educational Media and Library Science:  ['Archeology (arts and humanities) (Q2)', 'Conservation (Q2)', 'Library and Information Sciences (Q3)', 'Information Systems (Q4)']
Web Intelligence:  ['Artificial Intelligence (Q4)', 'Computer Networks and Communications (Q4)', 'Software (Q4)']
Journal of Software:  ['Artificial Intelligence (Q4)', 'Human-Computer Interaction (Q4)', 'Software (Q4)']
Journal of The Institution of Engineers (India): Series B:  ['Computer Science (miscellaneous) (Q3)', 'Electrical and Electronic Engineering (Q4)']
International Journal of Security and its Applications:  ['Computer Science (miscellaneous) (Q4)']
Herald of the Bauman Moscow State Technical University, Series Natural Sciences:  ['Chemistry (miscellaneous) (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)', 'Mathematics (miscellaneous) (Q4)', 'Physics and Astronomy (miscellaneous) (Q4)']
Information:  ['Multidisciplinary (Q3)', 'Information Systems (Q4)']
Journal of Computer Science:  ['Artificial Intelligence (Q4)', 'Computer Networks and Communications (Q4)', 'Software (Q4)']
Journal of Networks:  ['Computer Networks and Communications (Q4)']
Informatika i ee Primeneniya:  ['Applied Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)', 'Computer Networks and Communications (Q4)', 'Information Systems (Q4)', 'Software (Q4)']
International Journal of Smart Home:  ['Computer Science (miscellaneous) (Q4)']
Neural, Parallel and Scientific Computations:  ['Applied Mathematics (Q4)', 'Artificial Intelligence (Q4)', 'Computer Networks and Communications (Q4)', 'Software (Q4)', 'Theoretical Computer Science (Q4)']
Pragmatics and Cognition:  ['Language and Linguistics (Q2)', 'History and Philosophy of Science (Q3)', 'Linguistics and Language (Q3)', 'Behavioral Neuroscience (Q4)', 'Computer Science (miscellaneous) (Q4)']
WSEAS Transactions on Systems and Control:  ['Artificial Intelligence (Q4)', 'Control and Systems Engineering (Q4)', 'Mathematics (miscellaneous) (Q4)']
International Journal of Virtual and Personal Learning Environments:  ['Computer Science Applications (Q4)', 'Education (Q4)', 'E-learning (Q4)']
Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence:  ['Artificial Intelligence (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Software (Q4)']
Zhongguo Kexue Jishu Kexue/Scientia Sinica Technologica:  ['Computer Networks and Communications (Q4)', 'Control and Systems Engineering (Q4)']
ICIC Express Letters:  ['Computer Science (miscellaneous) (Q4)', 'Control and Systems Engineering (Q4)']
Romanian Journal of Information Science and Technology:  ['Computer Science (miscellaneous) (Q4)']
International Journal of Innovative Computing and Applications:  ['Hardware and Architecture (Q4)', 'Software (Q4)', 'Theoretical Computer Science (Q4)']
International Journal of Web Portals:  ['Computer Science Applications (Q4)']
International Journal of Advanced Intelligence Paradigms:  ['Applied Mathematics (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)']
Informatica (Ljubljana):  ['Artificial Intelligence (Q4)', 'Computer Science Applications (Q4)', 'Software (Q4)', 'Theoretical Computer Science (Q4)']
Journal of Internet Banking and Commerce:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Finance (Q4)', 'Human-Computer Interaction (Q4)', 'Management of Technology and Innovation (Q4)', 'Marketing (Q4)']
Journal of Telecommunications and Information Technology:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)']
CrossTalk:  ['Human-Computer Interaction (Q4)', 'Software (Q4)']
Chongqing Daxue Xuebao/Journal of Chongqing University:  ['Civil and Structural Engineering (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Materials Science (miscellaneous) (Q4)']
JALT CALL Journal:  ['Language and Linguistics (Q3)', 'Linguistics and Language (Q3)', 'Computer Science Applications (Q4)', 'Education (Q4)']
International Journal of Electronic Governance:  ['Computer Science Applications (Q4)', 'Public Administration (Q4)', 'Sociology and Political Science (Q4)']
Pakistan Journal of Information Management and Libraries:  ['Library and Information Sciences (Q3)', 'Computer Science Applications (Q4)']
International Journal of Information and Computer Security:  ['Computer Networks and Communications (Q4)', 'Hardware and Architecture (Q4)', 'Safety, Risk, Reliability and Quality (Q4)', 'Software (Q4)']
International Journal of Automation and Smart Technology:  ['Artificial Intelligence (Q4)', 'Control and Systems Engineering (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)', 'Human-Computer Interaction (Q4)', 'Signal Processing (Q4)']
Medijske Studije:  ['Communication (Q4)', 'Computer Science Applications (Q4)']
Annals of the University of Craiova, Mathematics and Computer Science Series:  ['Computer Science Applications (Q4)', 'Mathematics (miscellaneous) (Q4)']
Computer Methods in Materials Science:  ['Computer Science Applications (Q4)', 'Materials Science (miscellaneous) (Q4)']
International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications:  ['Computer Science Applications (Q4)', 'Control and Systems Engineering (Q4)', 'Electrical and Electronic Engineering (Q4)']
Journal of Artificial Intelligence:  ['Artificial Intelligence (Q4)', 'Software (Q4)']
International Journal of Internet Protocol Technology:  ['Computer Networks and Communications (Q4)']
Journal of Cyber Security and Mobility:  ['Computer Networks and Communications (Q4)', 'Hardware and Architecture (Q4)']
International Journal of Pervasive Computing and Communications:  ['Computer Science (miscellaneous) (Q4)', 'Theoretical Computer Science (Q4)']
Beijing Youdian Xueyuan Xuebao/Journal of Beijing University of Posts And Telecommunications:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)']
International Journal of Multimedia and Ubiquitous Engineering:  ['Computer Science (miscellaneous) (Q4)']
Foundations and Trends in Electronic Design Automation:  ['Computer Graphics and Computer-Aided Design (Q4)', 'Hardware and Architecture (Q4)']
International Journal of Electronic Security and Digital Forensics:  ['Computer Networks and Communications (Q4)', 'Law (Q4)', 'Safety, Risk, Reliability and Quality (Q4)']
Huazhong Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Huazhong University of Science and Technology (Natural Science Edition):  ['Computer Science (miscellaneous) (Q4)']
Ubiquitous Learning:  ['Computer Science (miscellaneous) (Q4)', 'Education (Q4)', 'E-learning (Q4)']
International Journal of Mobile Human Computer Interaction:  ['Human-Computer Interaction (Q4)']
International Journal of  Bio-Science and Bio-Technology:  ['Artificial Intelligence (Q4)', 'Bioengineering (Q4)', 'Biomedical Engineering (Q4)', 'Biotechnology (Q4)']
Journal of Digital Information Management:  ['Information Systems (Q4)', 'Library and Information Sciences (Q4)', 'Management Information Systems (Q4)']
International Journal of Computational Materials Science and Surface Engineering:  ['Computer Science Applications (Q4)', 'Engineering (miscellaneous) (Q4)', 'Materials Science (miscellaneous) (Q4)', 'Modeling and Simulation (Q4)']
Journal of Telecommunication, Electronic and Computer Engineering:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Hardware and Architecture (Q4)']
Journal of Communications Software and Systems:  ['Electrical and Electronic Engineering (Q4)', 'Software (Q4)']
Computers in Entertainment:  ['Computer Science Applications (Q4)']
International Journal of Mobile Computing and Multimedia Communications:  ['Computer Networks and Communications (Q4)']
Journal of Cognitive Science:  ['Language and Linguistics (Q3)', 'Linguistics and Language (Q3)', 'Artificial Intelligence (Q4)', 'Cognitive Neuroscience (Q4)', 'Experimental and Cognitive Psychology (Q4)']
Journal of Cases on Information Technology:  ['Computer Science Applications (Q4)', 'Information Systems (Q4)', 'Information Systems and Management (Q4)', 'Strategy and Management (Q4)']
ACM Communications in Computer Algebra:  ['Computational Mathematics (Q4)', 'Computational Theory and Mathematics (Q4)']
International Journal of Database Theory and Application:  ['Computer Science (miscellaneous) (Q4)']
Journal of Biomedical Discovery and Collaboration:  ['History and Philosophy of Science (Q3)', 'Computer Science Applications (Q4)', 'Health Informatics (Q4)']
Computers in Education Journal:  ['Computer Science (miscellaneous) (Q4)', 'Education (Q4)']
Leonardo:  ['Music (Q2)', 'Visual Arts and Performing Arts (Q2)', 'Computer Science Applications (Q4)', 'Engineering (miscellaneous) (Q4)']
American Journal of Engineering and Applied Sciences:  ['Chemical Engineering (miscellaneous) (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Energy Engineering and Power Technology (Q4)', 'Engineering (miscellaneous) (Q4)', 'Environmental Engineering (Q4)', 'Geotechnical Engineering and Engineering Geology (Q4)']
International Journal of Computer Aided Engineering and Technology:  ['Computer Science Applications (Q4)', 'Engineering (miscellaneous) (Q4)', 'Software (Q4)']
ICIC Express Letters, Part B: Applications:  ['Computer Science (miscellaneous) (Q4)']
International Journal of Circuits, Systems and Signal Processing:  ['Electrical and Electronic Engineering (Q4)', 'Signal Processing (Q4)']
International Review on Computers and Software:  ['Computer Science (miscellaneous) (Q4)']
Linguistica:  ['Language and Linguistics (Q3)', 'Linguistics and Language (Q3)', 'Artificial Intelligence (Q4)']
Journal of Emerging Technologies in Web Intelligence:  ['Computer Networks and Communications (Q4)']
International Journal of Information and Communication Technology:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Information Systems (Q4)', 'Software (Q4)']
Research Journal of Applied Sciences, Engineering and Technology:  ['Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)']
Machine Graphics and Vision:  ['Computer Graphics and Computer-Aided Design (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Software (Q4)']
Advanced Science Letters:  ['Computer Science (miscellaneous) (Q4)', 'Education (Q4)', 'Energy (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)', 'Environmental Science (miscellaneous) (Q4)', 'Health (social science) (Q4)', 'Mathematics (miscellaneous) (Q4)']
International Journal of Services, Technology and Management:  ['Computer Science Applications (Q4)', 'E-learning (Q4)', 'Engineering (miscellaneous) (Q4)', 'Marketing (Q4)', 'Strategy and Management (Q4)']
Journal of Computers (Taiwan):  ['Computer Science (miscellaneous) (Q4)']
International Journal of Applied Systemic Studies:  ['Computer Science Applications (Q4)', 'Control and Systems Engineering (Q4)', 'Information Systems and Management (Q4)']
Contemporary Engineering Sciences:  ['Computer Networks and Communications (Q4)', 'Engineering (miscellaneous) (Q4)', 'Fluid Flow and Transfer Processes (Q4)', 'Health, Toxicology and Mutagenesis (Q4)', 'Materials Science (miscellaneous) (Q4)', 'Social Sciences (miscellaneous) (Q4)']
International Journal of Computational Vision and Robotics:  ['Computer Science Applications (Q4)', 'Computer Vision and Pattern Recognition (Q4)']
Computer Modelling and New Technologies:  ['Computer Science Applications (Q4)', 'Modeling and Simulation (Q4)']
International Journal of E-Health and Medical Communications:  ['Computer Science Applications (Q4)', 'Health Informatics (Q4)']
International Journal of Mechatronics and Automation:  ['Industrial and Manufacturing Engineering (Q3)', 'Artificial Intelligence (Q4)', 'Computational Mathematics (Q4)', 'Computational Mechanics (Q4)', 'Control and Systems Engineering (Q4)', 'Electrical and Electronic Engineering (Q4)']
Journal of Microelectronics and Electronic Packaging:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Electronic, Optical and Magnetic Materials (Q4)']
International Journal of Autonomous and Adaptive Communications Systems:  ['Computer Science (miscellaneous) (Q4)', 'Electrical and Electronic Engineering (Q4)']
IPSJ Online Transactions:  ['Computer Science (miscellaneous) (Q4)']
Annual Review of CyberTherapy and Telemedicine:  ['Computer Science (miscellaneous) (Q4)', 'Neuroscience (miscellaneous) (Q4)', 'Psychology (miscellaneous) (Q4)', 'Rehabilitation (Q4)']
Electronics and Communications in Japan:  ['Applied Mathematics (Q4)', 'Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Physics and Astronomy (miscellaneous) (Q4)', 'Signal Processing (Q4)']
WSEAS Transactions on Signal Processing:  ['Computer Networks and Communications (Q4)', 'Computer Vision and Pattern Recognition (Q4)', 'Signal Processing (Q4)', 'Software (Q4)']
Journal in Computer Virology:  ['Computer Science (miscellaneous) (Q4)', 'Hardware and Architecture (Q4)']
Eurasip Journal of Embedded Systems:  ['Computer Science (miscellaneous) (Q4)', 'Control and Systems Engineering (Q4)']
International Journal of Standardization Research:  ['Computer Science Applications (Q4)', 'Management of Technology and Innovation (Q4)']
International Journal of Critical Computer-Based Systems:  ['Computer Science (miscellaneous) (Q4)']
Cryptologia:  ['Applied Mathematics (Q4)', 'Computer Science Applications (Q4)']
Archeologia e Calcolatori:  ['Archeology (Q3)', 'Archeology (arts and humanities) (Q3)', 'Computer Science Applications (Q4)']
Annales Mathematicae et Informaticae:  ['Computer Science (miscellaneous) (Q4)', 'Mathematics (miscellaneous) (Q4)']
Webology:  ['Human-Computer Interaction (Q4)', 'Information Systems and Management (Q4)', 'Library and Information Sciences (Q4)', 'Software (Q4)']
International Journal of Reasoning-based Intelligent Systems:  ['Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)']
Yingyong Kexue Xuebao/Journal of Applied Sciences:  ['Computer Science (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)', 'Mathematics (miscellaneous) (Q4)']
International Journal of Machine Consciousness:  ['Artificial Intelligence (Q4)']
Journal of Next Generation Information Technology:  ['Computer Science (miscellaneous) (Q4)']
Brain Informatics:  ['Cognitive Neuroscience (Q4)', 'Computer Science Applications (Q4)', 'Neurology (Q4)']
International Journal on Advances in Life Sciences:  ['Biotechnology (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Education (Q4)']
Masaryk University Journal of Law and Technology:  ['Computer Science Applications (Q4)', 'Law (Q4)', 'Library and Information Sciences (Q4)']
ICGA Journal:  ['Computational Mechanics (Q4)', 'Computer Graphics and Computer-Aided Design (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Human-Computer Interaction (Q4)']
International Journal of Mobile Network Design and Innovation:  ['Artificial Intelligence (Q4)', 'Computer Networks and Communications (Q4)', 'Management Information Systems (Q4)', 'Software (Q4)']
European Journal of Scientific Research:  ['Agricultural and Biological Sciences (miscellaneous) (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Earth and Planetary Sciences (miscellaneous) (Q4)', 'Engineering (miscellaneous) (Q4)', 'Materials Science (miscellaneous) (Q4)', 'Mathematics (miscellaneous) (Q4)']
Schedae Informaticae:  ['Computer Science (miscellaneous) (Q4)']
International Journal of Reconfigurable Computing:  ['Hardware and Architecture (Q4)']
Journal of Educational Multimedia and Hypermedia:  ['Computer Science Applications (Q4)', 'Education (Q4)']
Leonardo Music Journal:  ['Music (Q2)', 'Computer Science Applications (Q4)', 'Engineering (miscellaneous) (Q4)']
Information and Control:  ['Artificial Intelligence (Q4)', 'Computer Science Applications (Q4)', 'Control and Optimization (Q4)', 'Control and Systems Engineering (Q4)', 'Human-Computer Interaction (Q4)', 'Information Systems (Q4)']
IPSJ Transactions on Bioinformatics:  ['Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)', 'Computer Science Applications (Q4)']
Journal of Management Information and Decision Science:  ['Information Systems (Q4)', 'Information Systems and Management (Q4)', 'Management Information Systems (Q4)', 'Management Science and Operations Research (Q4)']
International Journal of Grid and Distributed Computing:  ['Computer Science (miscellaneous) (Q4)']
Pertanika Journal of Science and Technology:  ['Agricultural and Biological Sciences (miscellaneous) (Q4)', 'Chemical Engineering (miscellaneous) (Q4)', 'Computer Science (miscellaneous) (Q4)', 'Environmental Science (miscellaneous) (Q4)']
Ingenierie des Systemes d'Information:  ['Information Systems (Q4)']
International Journal of Information Technology and Management:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Hardware and Architecture (Q4)', 'Software (Q4)']
Journal of Electronic Science and Technology:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)', 'Signal Processing (Q4)']
Journal of Information and Computational Science:  ['Computational Theory and Mathematics (Q4)', 'Computer Graphics and Computer-Aided Design (Q4)', 'Information Systems (Q4)', 'Library and Information Sciences (Q4)']
Transactions on Electrical Engineering, Electronics, and Communications:  ['Computer Networks and Communications (Q4)', 'Electrical and Electronic Engineering (Q4)']
International Journal of Mechanical Engineering and Robotics Research:  ['Artificial Intelligence (Q4)', 'Control and Systems Engineering (Q4)', 'Mechanical Engineering (Q4)']
International Journal of Internet Manufacturing and Services:  ['Industrial and Manufacturing Engineering (Q3)', 'Computer Networks and Communications (Q4)', 'Information Systems and Management (Q4)']
Logos (Netherlands):  ['Literature and Literary Theory (Q2)', 'Media Technology (Q3)', 'Communication (Q4)', 'Computer Science Applications (Q4)', 'Education (Q4)', 'Library and Information Sciences (Q4)']
Journal of Fiber Bioengineering and Informatics:  ['Computer Science (miscellaneous) (Q4)', 'Materials Science (miscellaneous) (Q4)']
Recent Patents on Computer Science:  ['Computer Science (miscellaneous) (Q4)']
Electronic Letters on Computer Vision and Image Analysis:  ['Computer Vision and Pattern Recognition (Q4)', 'Software (Q4)']
Journal of Electronic Commerce in Organizations:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Marketing (Q4)', 'Strategy and Management (Q4)']
Inteligencia Artificial:  ['Artificial Intelligence (Q4)', 'Software (Q4)']
WSEAS Transactions on Computers:  ['Computer Science (miscellaneous) (Q4)']
Research Journal of Information Technology:  ['Computer Science (miscellaneous) (Q4)']
International Journal of High Performance Systems Architecture:  ['Hardware and Architecture (Q4)']
Infocommunications Journal:  ['Computer Science (miscellaneous) (Q4)', 'Electrical and Electronic Engineering (Q4)']
WSEAS Transactions on Communications:  ['Computer Networks and Communications (Q4)', 'Computer Science Applications (Q4)', 'Electrical and Electronic Engineering (Q4)']
